"Country or Area","Year","Value"
"Iceland","1993","285.262557227033"
"Iceland","1992","277.862674500301"
"Iceland","1991","288.880870293846"
"Iceland","1990","295.106758246681"
"Ireland","2021","6146.63947385306"
"Ireland","2020","5926.07980994606"
"Ireland","2019","5921.78521225356"
"Ireland","2018","6288.97641521928"
"Ireland","2017","5965.40175472576"
"Ireland","2016","5675.57628082467"
"Ireland","2015","5574.84618785136"
"Ireland","2014","5524.78552776445"
"Ireland","2013","5749.63732234415"
"Ireland","2012","5379.66447409108"
"Ireland","2011","5176.90855056307"
"Ireland","2010","5582.66945941847"
"Ireland","2009","5346.96038459395"
"Ireland","2008","5500.14229705516"
"Ireland","2007","5606.39687070837"
"Ireland","2006","5832.3551157284"
"Ireland","2005","5900.30861193318"
"Ireland","2004","5982.42463785949"
"Ireland","2003","6122.32506482823"
"Ireland","2002","6184.52697154181"
"Ireland","2001","6467.92067232372"
"Ireland","2000","6871.19784834462"
"Ireland","1999","7123.04867282382"
"Ireland","1998","7337.54870770278"
"Ireland","1997","6930.81192058474"
"Ireland","1996","7019.05808747742"
"Ireland","1995","6921.24103691852"
"Ireland","1994","6646.12500368766"
"Ireland","1993","6414.80357723131"
"Ireland","1992","6252.56466922518"
"Ireland","1991","6315.53164701845"
"Ireland","1990","6524.852696502"
"Italy","2021","17193.3360670527"
"Italy","2020","17345.6987925547"
"Italy","2019","16691.1240759088"
"Italy","2018","16892.8504050617"
"Italy","2017","16957.504762009"
"Italy","2016","17179.6213469772"
"Italy","2015","16787.5663505933"
"Italy","2014","16910.17900857"
"Italy","2013","17170.5704034812"
"Italy","2012","17905.2103879375"
"Italy","2011","17495.9459115448"
"Italy","2010","18089.9753754048"
"Italy","2009","18782.7802120918"
"Italy","2008","19712.1793146926"
"Italy","2007","21148.1955664959"
"Italy","2006","21607.0815182163"
"Italy","2005","26047.522458911"
"Italy","2004","27111.5231901255"
"Italy","2003","26249.1779578216"
"Italy","2002","26544.3315910819"
"Italy","2001","27116.5186244231"
"Italy","2000","26923.2387169923"
"Italy","1999","27975.4249533502"
"Italy","1998","27439.3413537578"
"Italy","1997","27193.1708694907"
"Italy","1996","26328.6746736397"
"Italy","1995","26177.0846048127"
"Italy","1994","25055.0839676415"
"Italy","1993","25455.8787594809"
"Italy","1992","24963.6345471365"
"Italy","1991","25252.3008415178"
"Italy","1990","24192.8269672718"
"Japan","2021","19459.7260163973"
"Japan","2020","19680.2881712081"
"Japan","2019","20011.0749121498"
"Japan","2018","20431.1223954609"
"Japan","2017","20891.9694067822"
"Japan","2016","20638.6199475476"
"Japan","2015","21150.9202433741"
"Japan","2014","21458.6754194466"
